file,class
distractor1_img_0.npy,0
distractor1_img_1.npy,0
distractor1_img_2.npy,0
distractor1_img_3.npy,0
distractor1_img_4.npy,0
distractor1_img_5.npy,0
distractor1_img_6.npy,0
distractor1_img_7.npy,0
distractor1_img_8.npy,0
distractor1_img_9.npy,0
distractor1_img_10.npy,0
distractor1_img_11.npy,0
distractor1_img_12.npy,0
distractor1_img_13.npy,0
distractor1_img_14.npy,0
distractor1_img_15.npy,0
distractor1_img_16.npy,0
distractor1_img_17.npy,0
distractor1_img_18.npy,0
distractor1_img_19.npy,0
distractor1_img_20.npy,0
distractor1_img_21.npy,0
distractor1_img_22.npy,0
distractor1_img_23.npy,0
distractor1_img_24.npy,0
distractor1_img_25.npy,0
distractor1_img_26.npy,0
distractor1_img_27.npy,0
distractor1_img_28.npy,0
distractor1_img_29.npy,0
distractor1_img_30.npy,0
distractor1_img_31.npy,0
distractor1_img_32.npy,0
distractor1_img_33.npy,0
distractor1_img_34.npy,0
distractor1_img_35.npy,0
distractor1_img_36.npy,0
distractor1_img_37.npy,0
distractor1_img_38.npy,0
distractor1_img_39.npy,0
distractor1_img_40.npy,0
distractor1_img_41.npy,0
distractor1_img_42.npy,0
distractor1_img_43.npy,0
distractor1_img_44.npy,0
distractor1_img_45.npy,0
distractor1_img_46.npy,0
distractor1_img_47.npy,0
distractor1_img_48.npy,0
distractor1_img_49.npy,0
distractor1_img_50.npy,0
distractor1_img_51.npy,0
distractor1_img_52.npy,0
distractor1_img_53.npy,0
distractor1_img_54.npy,0
distractor1_img_55.npy,0
distractor1_img_56.npy,0
distractor1_img_57.npy,0
distractor1_img_58.npy,0
distractor1_img_59.npy,0
distractor1_img_60.npy,0
distractor1_img_61.npy,0
distractor1_img_62.npy,0
distractor1_img_63.npy,0
distractor1_img_64.npy,0
distractor1_img_65.npy,0
distractor1_img_66.npy,0
distractor1_img_67.npy,0
distractor1_img_68.npy,0
distractor1_img_69.npy,0
distractor1_img_70.npy,0
distractor1_img_71.npy,0
distractor1_img_72.npy,0
distractor1_img_73.npy,0
distractor1_img_74.npy,0
distractor1_img_75.npy,0
distractor1_img_76.npy,0
distractor1_img_77.npy,0
distractor1_img_78.npy,0
distractor1_img_79.npy,0
distractor1_img_80.npy,0
distractor1_img_81.npy,0
distractor1_img_82.npy,0
distractor1_img_83.npy,0
distractor1_img_84.npy,0
distractor1_img_85.npy,0
distractor1_img_86.npy,0
distractor1_img_87.npy,0
distractor1_img_88.npy,0
distractor1_img_89.npy,0
distractor1_img_90.npy,0
distractor1_img_91.npy,0
distractor1_img_92.npy,0
distractor1_img_93.npy,0
distractor1_img_94.npy,0
distractor1_img_95.npy,0
distractor1_img_96.npy,0
distractor1_img_97.npy,0
distractor1_img_98.npy,0
distractor1_img_99.npy,0
distractor1_img_100.npy,0
distractor1_img_101.npy,0
distractor1_img_102.npy,0
distractor1_img_103.npy,0
distractor1_img_104.npy,0
distractor1_img_105.npy,0
distractor1_img_106.npy,0
distractor1_img_107.npy,0
distractor1_img_108.npy,0
distractor1_img_109.npy,0
distractor1_img_110.npy,0
distractor1_img_111.npy,0
distractor1_img_112.npy,0
distractor1_img_113.npy,0
distractor1_img_114.npy,0
distractor1_img_115.npy,0
distractor1_img_116.npy,0
distractor1_img_117.npy,0
distractor1_img_118.npy,0
distractor1_img_119.npy,0
distractor1_img_120.npy,0
distractor1_img_121.npy,0
distractor1_img_122.npy,0
distractor1_img_123.npy,0
distractor1_img_124.npy,0
distractor1_img_125.npy,0
distractor1_img_126.npy,0
distractor1_img_127.npy,0
distractor1_img_128.npy,0
distractor1_img_129.npy,0
distractor1_img_130.npy,0
distractor1_img_131.npy,0
distractor1_img_132.npy,0
